Before multiprocessing:
         139473373 function calls in 1154.445 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 queues.py:338(SimpleQueue)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
        1    0.000    0.000    0.000    0.000 synchronize.py:184(RLock)
        7    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 queues.py:295(JoinableQueue)
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        4    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 connection.py:644(PipeListener)
        2    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        3    0.000    0.000    0.000    0.000 context.py:233(get_context)
        1    0.000    0.000    0.000    0.000 pkgutil.py:195(ImpImporter)
        1    0.000    0.000    0.000    0.000 enum.py:683(value)
        1    0.000    0.000    0.000    0.000 queue.py:223(PriorityQueue)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 runpy.py:25(_TempModule)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 process.py:213(authkey)
        1    0.000    0.000    0.000    0.000 queue.py:23(Full)
        1    0.000    0.000    0.000    0.000 util.py:368(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 runpy.py:48(_ModifiedArgv0)
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 queue.py:242(LifoQueue)
        1    0.000    0.000    0.000    0.000 connection.py:770(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 connection.py:584(SocketListener)
        1    0.000    0.000    0.000    0.000 synchronize.py:123(Semaphore)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        2    0.000    0.000    0.000    0.000 context.py:187(get_context)
        1    0.000    0.000    0.000    0.000 util.py:385(ForkAwareLocal)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 process.py:189(name)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 connection.py:792(XmlListener)
        2    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 synchronize.py:142(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 synchronize.py:159(Lock)
        2    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 runpy.py:165(_Error)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
Issue is the waitforsingleobject, have to refactor to reduce the amount of time wasted waiting for either object to produce something.

Second try with a processor pool this time:
9673 function calls (9460 primitive calls) in 2182.664 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 2182.019 2182.019 pool.py:656(join)
       16 2181.723  136.358 2181.723  136.358 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000 2181.721  727.240 threading.py:997(join)
        3    0.000    0.000 2181.721  727.240 threading.py:1035(_wait_for_tstate_lock)
        1    0.000    0.000    0.554    0.554 context.py:49(Manager)
        1    0.000    0.000    0.546    0.546 managers.py:526(start)
       13    0.000    0.000    0.541    0.042 connection.py:299(_recv_bytes)
       13    0.541    0.042    0.541    0.042 {built-in method _winapi.WaitForMultipleObjects}
        4    0.000    0.000    0.540    0.135 connection.py:251(recv)
      152    0.000    0.000    0.298    0.002 popen_spawn_win32.py:101(wait)
      152    0.298    0.002    0.298    0.002 {built-in method _winapi.WaitForSingleObject}
       16    0.000    0.000    0.298    0.019 process.py:142(join)
       17    0.000    0.000    0.090    0.005 process.py:110(start)
        1    0.000    0.000    0.089    0.089 context.py:115(Pool)
        1    0.000    0.000    0.089    0.089 pool.py:183(__init__)
       17    0.000    0.000    0.089    0.005 context.py:324(_Popen)
       17    0.001    0.000    0.085    0.005 popen_spawn_win32.py:44(__init__)
        1    0.000    0.000    0.084    0.084 pool.py:302(_repopulate_pool)
        1    0.000    0.000    0.084    0.084 pool.py:311(_repopulate_pool_static)
       17    0.076    0.004    0.076    0.004 {built-in method _winapi.CreateProcess}
     15/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
     15/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     15/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
     12/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap_external>:784(exec_module)
    70/13    0.001    0.000    0.009    0.001 {built-in method builtins.exec}
     23/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.007    0.007 managers.py:11(<module>)
    23/14    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      5/4    0.000    0.000    0.006    0.002 {built-in method builtins.__import__}
